id,x,y,order
1686,39396.7,8402.5,0
1717,39444.2,8414.72,1
1789,39533.3,8450,2
1781,39519.7,8507.5,3
1808,39556.7,8568.33,4
1784,39527.2,8599.44,5
1794,39540.6,8629.44,6
1752,39493.6,8660,7
1633,39321.9,8648.61,8
1583,39276.1,8639.72,9
1615,39301.7,8666.67,10
1632,39316.7,8733.33,11
1655,39363.9,8795.56,12
1616,39301.7,8807.78,13
1622,39313.3,8929.17,14
1641,39335.8,8915.56,15
1673,39379.7,8941.67,16
1710,39424.4,8924.44,17
1739,39481.7,8909.17,18
1729,39457.8,8740.56,19
1807,39551.4,8791.67,20
1783,39524.7,8847.78,21
1809,39561.1,8899.44,22
1811,39563.1,8948.61,23
1812,39563.6,8982.78,24
1872,39619.4,8960.56,25
1893,39662.8,8923.06,26
1901,39673.1,8889.17,27
1884,39648.9,8900,28
1881,39633.9,8870,29
1882,39642.8,8841.39,30
1856,39614.4,8821.67,31
1857,39615,8786.67,32
1839,39594.4,8720,33
1880,39633.3,8550,34
1928,39712.8,8485,35
1969,39774.4,8581.94,36
1993,39813.6,8648.89,37
1962,39750.6,8637.5,38
1940,39719.2,8639.17,39
1911,39684.2,8643.61,40
1920,39700,8702.78,41
1912,39685.6,8776.94,42
1923,39701.9,8785,43
1929,39714.2,8774.44,44
1953,39745.6,8771.94,45
1944,39725.6,8797.22,46
1955,39747.2,8831.11,47
1941,39722.5,8829.72,48
1921,39700,8837.22,49
1910,39683.3,8836.39,50
1930,39714.2,8875.83,51
1942,39722.5,8898.61,52
1913,39693.1,8909.17,53
1926,39705.8,8917.78,54
1943,39723.1,8939.72,55
1954,39746.4,8924.17,56
1963,39755,8906.94,57
1964,39761.7,8873.33,58
1965,39763.3,8863.61,59
1980,39790.8,8856.11,60
1977,39783.3,8833.33,61
1968,39770.8,8815,62
1981,39791.7,8802.22,63
1985,39796.9,8819.44,64
1989,39808.3,8851.67,65
1978,39786.9,8864.44,66
1992,39810.3,8919.44,67
2026,39860,8902.78,68
2034,39872.8,8946.11,69
2003,39825.3,8939.17,70
2002,39822.5,8975.28,71
2023,39854.7,9051.67,72
2096,39945.8,9072.22,73
2161,39991.4,9078.06,74
2185,40016.7,9100,75
2250,40066.7,9133.33,76
2293,40100,9150,77
2292,40100,9116.67,78
2249,40066.7,9083.33,79
2184,40016.7,9033.33,80
2204,40033.3,8983.33,81
2097,39948.9,8941.11,82
2061,39909.2,8895.83,83
2027,39865.8,8857.22,84
2046,39886.4,8779.17,85
2074,39920.6,8764.44,86
2076,39929.2,8762.5,87
2158,39989.4,8751.94,88
2228,40050,8716.67,89
2183,40016.7,8666.67,90
2170,40000,8650,91
2113,39955.3,8672.22,92
2117,39958.6,8708.89,93
2111,39952.2,8734.17,94
2094,39940,8720.83,95
2078,39931.4,8689.44,96
2110,39950.3,8634.44,97
2095,39943.9,8602.5,98
2091,39934.4,8596.94,99
2073,39920.6,8622.78,100
2036,39876.4,8645.83,101
2037,39880,8606.94,102
2059,39903.1,8591.94,103
2093,39938.1,8571.94,104
2090,39933.3,8550,105
2060,39907.8,8515.83,106
2038,39881.9,8440,107
2071,39917.2,8452.5,108
2077,39930,8531.39,109
2136,39973.9,8538.89,110
2160,39990.8,8595.28,111
2162,39993.1,8555.28,112
2163,39995.8,8540,113
2286,40100,8483.33,114
2383,40183.3,8566.67,115
2269,40083.3,8600,116
2226,40050,8566.67,117
2182,40016.7,8600,118
2227,40050,8633.33,119
2287,40100,8650,120
2327,40133.3,8650,121
2363,40166.7,8666.67,122
2406,40216.7,8800,123
2463,40266.7,8783.33,124
2480,40283.3,8783.33,125
2464,40266.7,8816.67,126
2481,40283.3,8833.33,127
2548,40350,8800,128
2549,40350,8883.33,129
2519,40316.7,8916.67,130
2482,40283.3,8883.33,131
2408,40216.7,8916.67,132
2407,40216.7,8900,133
2364,40166.7,8850,134
2350,40150,8833.33,135
2329,40133.3,8833.33,136
2308,40116.7,8833.33,137
2328,40133.3,8816.67,138
2270,40083.3,8766.67,139
2164,39995.8,8810.28,140
2116,39958.1,8863.89,141
2203,40033.3,8900,142
2230,40050,8900,143
2229,40050,8866.67,144
2288,40100,8866.67,145
2309,40116.7,8866.67,146
2289,40100,8883.33,147
2271,40083.3,8900,148
2248,40066.7,8950,149
2291,40100,8950,150
2290,40100,8933.33,151
2310,40116.7,8933.33,152
2365,40166.7,8916.67,153
2423,40233.3,9033.33,154
2534,40333.3,8950,155
2550,40350,9000,156
2579,40383.3,8983.33,157
2580,40383.3,9000,158
2619,40416.7,9033.33,159
2644,40450,9050,160
2506,40300,9116.67,161
2424,40233.3,9150,162
2384,40183.3,9150,163
2385,40183.3,9183.33,164
2366,40166.7,9200,165
2351,40150,9216.67,166
2311,40116.7,9250,167
2444,40250,9183.33,168
2465,40266.7,9166.67,169
2645,40450,9166.67,170
2658,40466.7,9183.33,171
2690,40516.7,9216.67,172
2757,40583.3,9250,173
2756,40583.3,9183.33,174
2755,40583.3,9100,175
2754,40583.3,9083.33,176
2717,40550,9016.67,177
2753,40583.3,9000,178
2773,40600,8933.33,179
2716,40550,8900,180
2618,40416.7,8800,181
2617,40416.7,8766.67,182
2600,40400,8716.67,183
2668,40483.3,8583.33,184
2660,40471.4,8560,185
2616,40416.7,8633.33,186
2598,40400,8633.33,187
2599,40400,8650,188
2505,40300,8650,189
2405,40216.7,8583.33,190
2404,40216.7,8550,191
2462,40266.7,8566.67,192
2461,40266.7,8550,193
2479,40283.3,8550,194
2460,40266.7,8533.33,195
2459,40266.7,8516.67,196
2443,40250,8516.67,197
2458,40266.7,8500,198
2478,40283.3,8483.33,199
2504,40300,8500,200
2558,40366.7,8500,201
2597,40400,8500,202
2681,40502.5,8469.17,203
2713,40550,8400,204
2721,40558.9,8318.06,205
2770,40600,8316.67,206
2761,40596.9,8283.06,207
2769,40600,8200,208
2910,40740.6,8149.72,209
2913,40746.7,8191.11,210
2931,40762.5,8205.28,211
2969,40784.7,8219.44,212
3000,40812.5,8214.17,213
2998,40801.1,8197.22,214
3103,40883.3,7983.33,215
3335,41066.7,8283.33,216
3337,41080,8334.17,217
3229,40995.6,8241.11,218
3181,40949.4,8224.44,219
3180,40937.2,8227.5,220
3105,40896.7,8223.06,221
3085,40871.1,8262.22,222
3044,40843.6,8280.28,223
3040,40833.3,8276.67,224
3043,40835,8397.22,225
3024,40817.8,8467.78,226
2932,40762.8,8420.83,227
2841,40666.7,8281.67,228
2820,40650,8316.67,229
2821,40650,8383.33,230
2771,40600,8383.33,231
2722,40560.8,8459.17,232
2806,40637.2,8488.33,233
2772,40600,8566.67,234
2842,40666.7,8533.33,235
